"ID","Date","Age","Height","HomeTown","Name","Prev","RStreak","Weight"
2357,"2015-08-01",37,167,"San Antonio de Padua, Buenos Aires Argentina","Guido Cannetti",1,0,61
2133,"2015-08-02",33,165,"Campina Grande, Paraiba Brazil","Bethe Correia",2,2,61
1431,"2015-08-02",37,193,"Brasilia Brazil","Antonio Silva",2,0,119
2227,"2015-08-04",35,185,"St. Tropez France","Nordine Taleb",2,2,77
1999,"2015-08-01",34,167,"Maua, Sao Paulo Brazil","Hugo Viana",2,0,61
1706,"2015-08-02",36,175,"Marajo Brazil","Iuri Alcantara",4,0,61
2047,"2015-08-02",29,190,"Brooklyn, New York USA","Neil Magny",7,7,77
649,"2015-08-02",29,213,"Beverwijk The Netherlands","Stefan Struve",1,0,120
306,"2015-08-02",39,193,"Perth Australia","Soa Palelei",3,1,120
2576,"2015-02-08",35,167,"Rio de Janeiro Brazil","Fernando Bruno",0,0,65
2165,"2015-08-02",33,170,"Ubatuba, Sao Paulo Brazil","Leandro Issa",3,2,61
1390,"2016-02-01",36,185,"Ilha Solteira, Sao Paulo Brazil","Rafael Feijao",0,0,93
2247,"2015-08-04",26,180,"Governador Valadares, Minas Gerais Brazil","Warlley Alves",2,2,77
1694,"2016-02-01",36,187,"Doylestown, Pennsylvania USA","Patrick Cummins",5,0,93
1828,"2015-08-02",30,170,"Riverside, California USA","Ronda Rousey",3,3,61
2245,"2016-03-01",38,185,"Joinvillve, Santa Catarina Brazil","Vitor Miranda",2,1,84
326,"2015-08-02",39,185,"Sao Paulo Brazil","Demian Maia",3,2,77
2571,"2015-08-02",34,170,"Sao Paulo Brazil","Reginaldo Vieira",0,0,61
272,"2015-08-02",40,190,"Bahia Brazil","Minotauro Nogueira",1,0,109
2577,"2015-08-02",32,165,"Manaus Brazil","Dileno Lopes",0,0,61
1484,"2015-07-13",31,167,"Hanford, California USA","Chad Mendes",2,1,65
2015,"2015-07-13",28,180,"Reykjavik Iceland","Gunnar Nelson",2,2,77
2369,"2015-07-13",25,172,"Uhrichsville, Ohio USA","Cody Garbrandt",0,0,61
1952,"2015-07-13",33,187,"Wilburton, Oklahoma USA","Tim Means",5,4,77
432,"2015-07-13",36,182,"Xenia, Ohio USA","Matt Brown",2,0,77
2057,"2015-07-13",28,175,"Dublin Ireland","Conor McGregor",3,3,70
545,"2015-07-13",30,175,"Des Moines, Iowa United States","Jeremy Stephens",2,0,65
1907,"2015-07-13",30,167,"Saugerties, NY United States","Dennis Bermudez",3,0,65
1331,"2015-07-13",31,187,"Denver, Colorado USA","Brandon Thatch",1,0,77
1170,"2015-07-13",38,167,"East London England","Brad Pickett",3,0,61
646,"2015-07-13",34,170,"Boston, Massachusetts USA","John Howard",3,0,77
2325,"2015-07-13",25,170,"Sao Paulo Brazil","Thomas Almeida",2,2,61
2356,"2015-07-13",36,172,"Tijuana, Baja California Mexico","Henry Briones",1,1,61
2429,"2015-07-13",26,177,"Amarillo, Texas USA","Cody Pfister",1,0,70
379,"2015-07-13",37,185,"Houston, Texas USA","Mike Swick",0,0,77
2185,"2015-07-13",32,172,"Havana Cuba","Yosdenis Cedeno",3,0,70
1176,"2015-07-13",27,182,"Quesnel, B.C. Canada","Rory MacDonald",3,3,77
2269,"2015-07-13",29,185,"Dublin Ireland","Cathal Pendred",4,4,77
2130,"2015-07-13",29,175,"Santiago Dominican Republic","Alex Garcia",2,0,77
2166,"2015-07-13",25,175,"Honolulu, HI USA","Louis Smolka",3,1,56
