"Fight_ID","ID","Event_ID","Date","winner","winby","corner","Last_round","Max_round","RStreak","Height","Weight","Age","HomeTown"
6471,2055,807,"2017-02-13","red","DEC","red",3,3,1,185,77,33,"Lindenhurst, New York United States"
6480,2466,807,"2017-02-13","blue","DEC","blue",3,3,1,177,70,25,"Dagestan Russia"
6508,1806,807,"2017-02-13","red","DEC","blue",3,3,0,185,84,33,"Wilmington, North Carolina United States"
6469,1968,807,"2017-02-13","red","DEC","red",3,3,0,187,93,37,"Sobralia, Minas Gerais Brazil"
6496,435,807,"2017-02-13","red","SUB","blue",1,3,2,182,84,36,"Lincolnville, Maine United States"
6482,509,807,"2017-02-13","red","DEC","blue",3,3,3,172,70,33,"Sparta, New Jersey United States"
6468,2317,807,"2017-02-13","blue","DEC","red",5,5,0,172,65,35,"Albuquerque, New Mexico United States"
6472,2778,807,"2017-02-13","blue","DEC","blue",3,3,0,180,77,28,"Chicago, Illinois United States"
6491,515,807,"2017-02-13","red","DEC","blue",3,3,0,175,65,33,"Brooklyn, New York United States"
6481,2296,807,"2017-02-13","red","DEC","blue",3,3,1,177,56,27,"Shizuoka Japan"
6503,2859,806,"2017-01-31","red","DEC","blue",3,3,0,167,56,26,"Lawton, Oklahoma  USA"
6475,1076,806,"2017-01-31","blue","KO/TKO","red",2,3,4,185,77,33,"Denver, Colorado United States"
6449,2815,806,"2017-01-31","red","SUB","red",1,3,0,187,70,27,"Torrance, California United States"
6477,2264,806,"2017-01-31","blue","DEC","blue",3,3,3,187,84,30,"Milwaukee, Wisconsin United States"
6489,2860,806,"2017-01-31","red","KO/TKO","blue",1,3,0,182,93,26,"Burlington, Vermont United States"
6500,1755,806,"2017-01-31","blue","SUB","red",2,3,0,177,65,28,"Miami, Florida USA"
6501,2177,806,"2017-01-31","red","DEC","blue",3,3,0,170,61,27,"Long Island, New York USA"
6476,2659,806,"2017-01-31","blue","KO/TKO","blue",1,3,3,193,113,30,"Batie Cameroon"
6502,2782,806,"2017-01-31","red","SUB","red",1,3,1,185,84,30,"Stoughton, Massachusetts USA"
6488,2855,806,"2017-01-31","blue","KO/TKO","red",2,3,0,182,77,26,"Mt. Clemens, Michigan USA"
6498,2768,806,"2017-01-31","blue","DEC","red",3,3,0,190,93,27,"Limoeiro, Pernambuco Brazil"
6488,2206,806,"2017-01-31","blue","KO/TKO","blue",2,3,1,182,77,29,"Xinjiang China"
6501,1039,806,"2017-01-31","red","DEC","red",3,3,0,165,61,34,"Recife Brazil"
6476,367,806,"2017-01-31","blue","KO/TKO","red",1,3,0,193,109,38,"Minsk Belarus"
6449,2797,806,"2017-01-31","red","SUB","blue",1,3,0,175,70,27,"Oklahoma City, Oklahoma United States"
6477,372,806,"2017-01-31","blue","DEC","red",3,3,1,182,84,37,"Lander, Wyoming USA"
6498,2856,806,"2017-01-31","blue","DEC","blue",3,3,0,187,93,28,"Richmond, Virginia USA"
6500,2724,806,"2017-01-31","blue","SUB","blue",2,3,2,177,65,24,"Jackson, Mississippi United States"
6455,2731,806,"2017-01-31","red","SUB","red",2,5,1,165,61,29,"Bishkek Kyrgyzstan"
6489,1865,806,"2017-01-31","red","KO/TKO","red",1,3,0,185,93,31,"Ribeirâo Pires, Sao Paulo Brazil"
6455,1511,806,"2017-01-31","red","SUB","blue",2,5,3,167,61,27,"Spokane, Washington USA"
6475,1272,806,"2017-01-31","blue","KO/TKO","blue",2,3,2,180,77,32,"Miami, Florida USA"
6503,2858,806,"2017-01-31","red","DEC","red",3,3,0,165,56,26,"Rio de Janeiro Brazil"
6502,2755,806,"2017-01-31","red","SUB","blue",1,3,1,182,84,27,"Rome Italy"
6451,2343,804,"2017-02-06","blue","DEC","blue",3,3,2,162,52,32,"Chicago, Illinois USA"
6524,2861,804,"2017-02-06","blue","KO/TKO","blue",1,3,0,185,93,31,"Tubarao, Santa Catarina Brazil"
6459,2764,804,"2017-03-17","no contest","KO/TKO","blue",2,3,1,193,120,26,"Chicago, Illinois United States"
6450,1494,804,"2017-02-20","blue","KO/TKO","blue",1,5,0,170,65,30,"Po-Hang South Korea"
6452,2013,804,"2017-02-06","blue","SUB","red",3,3,3,172,70,33,"Greensboro, North Carolina United States"
6492,2623,804,"2017-02-06","blue","KO/TKO","red",1,3,0,185,93,32,"Fairfield, CA USA"
6453,2863,804,"2017-02-06","blue","DEC","blue",3,3,0,185,93,27,"Fribourg Switzerland"
6451,2814,804,"2017-02-06","blue","DEC","red",3,3,1,165,52,23,"Guadalajara, Jalisco Mexico"
6450,1907,804,"2017-02-20","blue","KO/TKO","red",1,5,2,167,65,30,"Saugerties, NY United States"
6459,2763,804,"2017-03-17","no contest","KO/TKO","red",2,3,1,190,104,29,"Calvert County, Maryland United States"
6490,2737,804,"2017-02-06","no contest","KO/TKO","red",2,3,2,180,77,26,"Houston, Texas United States"
6505,2340,804,"2017-02-06","red","DEC","red",3,3,0,154,52,27,"Fall River, Massachusetts United States"
6511,2079,804,"2017-02-06","red","DEC","red",3,3,2,160,52,25,"Umuarama, Parana Brazil"
6511,2352,804,"2017-02-06","red","DEC","blue",3,3,0,160,52,32,"Clinton, Maryland United States"
6460,2214,804,"2017-02-06","red","SUB","red",2,3,1,180,65,31,"Azle, Texas USA"
6505,2345,804,"2017-02-06","red","DEC","blue",3,3,0,167,52,28,"Tasmania Australia"
6460,1622,804,"2017-02-06","red","SUB","blue",2,3,1,172,70,30,"Page, Arizona United States"
6452,1984,804,"2017-02-06","blue","SUB","blue",3,3,0,190,70,30,"Olney, Texas USA"
6492,2790,804,"2017-02-06","blue","KO/TKO","blue",1,3,0,185,93,27,"Los Angeles, California  United States"
6453,1499,804,"2017-02-06","blue","DEC","red",3,3,0,190,93,33,"Immokalee, Florida United States"
6499,2857,804,"2017-02-06","red","DEC","red",3,3,0,175,61,21,"Campinas, Sao Paulo Brazil"
6499,2210,804,"2017-02-06","red","DEC","blue",3,3,0,165,61,26,"Kanagawa Japan"
6490,2851,804,"2017-02-06","no contest","KO/TKO","blue",2,3,1,182,77,27,"Cape Coral, Florida United States"
6524,2215,804,"2017-02-06","blue","KO/TKO","red",1,3,0,195,118,36,"Kent, Washington United States"
6423,1543,803,"2017-01-17","blue","DEC","red",3,3,1,180,77,32,"Ogden, UT USA"
6484,2304,803,"2017-01-17","blue","DEC","red",3,3,0,167,61,36,"Phoenix, Arizona USA"
6486,2710,803,"2017-01-17","blue","SUB","red",3,3,0,170,52,31,"San Diego, California United States"
6433,2767,803,"2017-01-17","blue","KO/TKO","red",1,3,0,187,114,32,"Russia"
6425,2841,803,"2017-01-17","blue","DEC","red",3,3,0,182,70,29,"South Berwick Maine"
6435,2810,803,"2017-01-17","blue","KO/TKO","blue",3,3,0,190,93,38,"Copenhagen Denmark"
6436,361,803,"2017-01-17","red","KO/TKO","blue",2,5,0,175,65,38,"Kailua, Hawaii USA"
6424,2216,803,"2017-01-17","red","DEC","blue",3,3,1,182,65,28,"Columbia, Missouri USA"
6425,2854,803,"2017-01-17","blue","DEC","blue",3,3,0,172,70,29,"Kalamazoo Michigan "
6423,502,803,"2017-01-17","blue","DEC","blue",3,3,0,187,77,33,"Fort Lauderdale, Florida USA"
6424,2159,803,"2017-01-17","red","DEC","red",3,3,1,182,70,27,"Palos Heights, Illinois USA"
6486,2328,803,"2017-01-17","blue","SUB","blue",3,3,0,165,52,31,"Weston, Florida USA"
6447,2118,803,"2017-01-17","blue","DEC","blue",3,3,2,167,56,23,"Milwaukee, Wisconsin USA"
6484,2748,803,"2017-01-17","blue","DEC","blue",3,3,0,167,61,34,"Rio de Janeiro Brazil"
6433,2761,803,"2017-01-17","blue","KO/TKO","blue",1,3,0,187,112,31,"Avignon France"
6442,2787,803,"2017-01-17","red","KO/TKO","blue",2,3,0,193,113,27,"D'Iberville, Mississippi USA"
6445,524,803,"2017-01-17","red","DEC","red",3,3,0,177,70,32,"Brockton, Massachusetts USA"
6485,2155,803,"2017-01-17","red","SUB","red",1,3,0,187,109,39,"Moscow Russia"
6435,2752,803,"2017-01-17","blue","KO/TKO","red",3,3,0,180,106,36,"Odzaci Serbia"
6485,2233,803,"2017-01-17","red","SUB","blue",1,3,0,190,109,26,"Pribram Czech Republic"
6447,2007,803,"2017-01-17","blue","DEC","red",3,3,0,167,56,33,"Phoenix, Arizona USA"
6445,2484,803,"2017-01-17","red","DEC","blue",3,3,0,175,70,25,"Tychy Poland"
6442,2106,803,"2017-01-17","red","KO/TKO","red",2,3,0,195,113,33,"Birmingham, Alabama USA"
6436,2362,803,"2017-01-17","red","KO/TKO","red",2,5,5,180,65,24,"Parral, Chihuahua Mexico"
6396,2469,802,"2017-01-02","no contest","0","red",1,3,2,180,77,29,"Tres Rios, Rio de Janeiro Brazil"
6389,2130,802,"2017-01-02","blue","KO/TKO","blue",1,3,0,175,77,29,"Santiago Dominican Republic"
6420,1966,802,"2017-01-02","red","DEC","blue",3,3,6,160,61,26,"Paranagua, Parana Brazil"
6370,1828,802,"2017-01-02","red","KO/TKO","blue",1,5,0,170,61,30,"Riverside, California USA"
