"Event_ID","Fight_ID","ID","corner","Date","Name"
797,6369,2824,"blue","2016-11-27","Alexander Volkanovski"
796,6338,2603,"blue","2016-11-20","Cortney Casey"
796,6330,2799,"blue","2016-11-20","Christian Colombo"
796,6331,2122,"blue","2016-11-20","Krzysztof Jotko"
796,6338,2277,"red","2016-11-20","Claudia Gadelha"
796,6340,2126,"blue","2016-11-20","Justin Scoggins"
796,6410,2826,"blue","2016-11-20","Zak Ottow"
796,6329,503,"red","2016-12-08","Ryan Bader"
796,6353,2587,"blue","2016-11-20","Kamaru Usman"
796,6412,2085,"red","2016-11-22","Francimar Barroso"
796,6332,1860,"red","2016-11-20","Johnny Eduardo"
796,6329,797,"blue","2016-12-08","Rogerio Nogueira"
796,6411,2829,"blue","2016-11-20","Gadzhimurad Antigulov"
796,6332,438,"blue","2016-11-20","Manvel Gamburyan"
796,6412,2828,"blue","2016-11-22","Darren Stewart"
796,6393,2325,"red","2016-12-08","Thomas Almeida"
796,6340,2191,"red","2016-11-20","Pedro Munhoz"
796,6411,1865,"red","2016-11-20","Marcos Rogerio de Lima"
796,6331,449,"red","2016-11-20","Thales Leites"
796,6393,2405,"blue","2016-12-08","Albert Morales"
796,6346,2775,"blue","2016-11-20","Jack Hermansson"
796,6330,2658,"red","2016-11-20","Luis Henrique"
796,6346,1991,"red","2016-11-20","Cezar Ferreira"
796,6353,2247,"red","2016-11-20","Warlley Alves"
796,6410,1992,"red","2016-11-20","Sergio Moraes"
795,6350,2729,"red","2016-11-20","Artem Lobov"
795,6323,2502,"blue","2016-11-20","Stevie Ray"
795,6342,2200,"blue","2016-11-20","Alexander Yakovlev"
795,6323,875,"red","2016-11-20","Ross Pearson"
795,6391,2103,"red","2016-11-20","Kyoji Horiguchi"
795,6361,2831,"blue","2016-12-08","Jack Marshman"
795,6376,2235,"blue","2016-11-20","Milana Dudieva"
795,6344,2788,"red","2016-11-20","Justin Ledet"
795,6431,2634,"blue","2016-11-20","Abdul Razak Alhassan"
795,6345,2492,"blue","2016-11-20","Alexander Volkov"
795,6376,2376,"red","2016-11-20","Marion Reneau"
795,6361,1938,"red","2016-12-08","Magnus Cedenblad"
795,6313,2792,"blue","2016-11-20","Amanda Cooper"
795,6343,2157,"red","2016-11-20","Kevin Lee"
795,6350,2655,"blue","2016-11-20","Teruto Ishihara"
795,6343,2529,"blue","2016-11-20","Magomed Mustafaev"
795,6313,2769,"red","2016-11-20","Anna Elmose"
795,6431,2833,"red","2016-11-20","Charlie Ward"
795,6344,2827,"blue","2016-11-20","Mark Godbeer"
795,6304,2069,"blue","2016-11-20","Uriah Hall"
795,6430,2839,"red","2016-11-20","Brett Johns"
795,6430,2838,"blue","2016-11-20","Kwan Ho Kwak"
795,6304,786,"red","2016-11-20","Gegard Mousasi"
795,6345,2425,"red","2016-11-20","Tim Johnson"
795,6342,1422,"red","2016-11-20","Zak Cummings"
795,6391,2084,"blue","2016-11-20","Ali Bagautinov"
794,6318,435,"blue","2016-11-14","Tim Boetsch"
794,6335,890,"red","2016-11-14","Eddie Alvarez"
794,6328,509,"red","2016-11-14","Jim Miller"
794,6319,1618,"red","2016-11-14","Liz Carmouche"
794,6328,511,"blue","2016-11-14","Thiago Alves"
794,6339,1919,"red","2016-11-14","Khabib Nurmagomedov"
794,6337,1866,"blue","2016-11-14","Yoel Romero"
794,6339,1711,"blue","2016-11-14","Michael Johnson"
794,6336,1944,"blue","2016-11-14","Stephen Thompson"
794,6337,1769,"red","2016-11-14","Chris Weidman"
794,6326,2588,"red","2016-11-14","Vicente Luque"
